sku,numero_imagem,cdn,fonte
CP17418,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/7/17418_2-17459223422141673.jpeg,Listagem (imagem principal)
CP18569,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/8/18569.jpg-17460175467907563.jpeg,Listagem (imagem principal)
CP27759,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/7/27759-17460173074465728.jpeg,Listagem (imagem principal)
CP28463,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/8/28463_1-17587373213956392.jpeg,Listagem (imagem principal)
CP29039,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/9/29039-17460172732108806.jpeg,Listagem (imagem principal)
CP29040,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/9/29040-17458228270786678.jpeg,Listagem (imagem principal)
CP111613,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111613_1-17522907229355352.jpeg,Listagem (imagem principal)
CP111616,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111616_-17774682560112308.jpeg,Listagem (imagem principal)
CP111630,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111630_1-17774819634096250.jpeg,Listagem (imagem principal)
CP31353,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/3/1/31353-17523314915317577.jpeg,Listagem (imagem principal)
CP29442,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/9/29442-17459255409714100.jpeg,Listagem (imagem principal)
CP193101,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/9/193101-17523399793398010.jpeg,Listagem (imagem principal)
CP195081,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/9/195081_2-17458511815431511.jpeg,Listagem (imagem principal)
CP152259,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/5/152259-17458629760564369.jpeg,Listagem (imagem principal)
CP152276,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/5/152276-17458438836352559.jpeg,Listagem (imagem principal)
CP29441,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/9/29441-17459045229614227.jpeg,Listagem (imagem principal)
CP35896,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/-/1-17459253901688909.jpeg,Listagem (imagem principal)
CP108189,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108189_1-17459144899983650.jpeg,Listagem (imagem principal)
CP112362,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/112362-17459262031402442.jpeg,Listagem (imagem principal)
CP108168,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108168_1-17680522492235093.jpeg,Listagem (imagem principal)
CP11706,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/11706.jpg-17523313462302649.jpeg,Listagem (imagem principal)
CP22171,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/2/22171.jpg-17523395007519935.jpeg,Listagem (imagem principal)
CP23175,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/3/23175.jpg-17459113365166824.jpeg,Listagem (imagem principal)
CP146109,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/4/146109-17523709938482355.jpeg,Listagem (imagem principal)
CP28778,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/8/28778-17523238807972305.jpeg,Listagem (imagem principal)
CP11008,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/11008.jpg-17460176305482622.jpeg,Listagem (imagem principal)
17415,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/7/174151780914735.jpg,Listagem (imagem principal)
CP17415,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/7/17415.jpg-17458886356477024.jpeg,Listagem (imagem principal)
CP17416,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/7/17416.jpg-17460175670737556.jpeg,Listagem (imagem principal)
CP18591,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/8/18591.jpg-17458368755831633.jpeg,Listagem (imagem principal)
CP22169,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/2/22169_1-17480114599803745.jpeg,Listagem (imagem principal)
CP106947,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106947-17523431730061566.jpeg,Listagem (imagem principal)
CP106945,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106945_3-17458116913004011.jpeg,Listagem (imagem principal)
CP111646,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111646-17523286356236629.jpeg,Listagem (imagem principal)
CP111645,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111645-17523725954076509.jpeg,Listagem (imagem principal)
CP111647,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111647-17522981473449179.jpeg,Listagem (imagem principal)
CP112220,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/112220_2-17458647598892637.jpeg,Listagem (imagem principal)
CP32517,1,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/3/2/32517-17459001808633468.jpeg,Listagem (imagem principal)
