sku,nome,preco,categoria,cdn
152273,PALHETA IBOX 1.0MM C/ 20 PCS VERMELHO PLP100RD - 1,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/5/1522731780914726.jpg
17415,SUPORTE P/MICROFONE GIRAFA SMMAX PRETO - 1,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/7/174151780914735.jpg
29570,SUPORTE DE PAREDE P/ VIOLAO/GUITARRA AGS - 1,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/2/9/295701780914739.jpg
37641,MICROFONE COM CABO USB PODCAST-400U PRETO - 1,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/3/7/376411780050717.jpg
CP106936,ESTANTE PARA PARTITURA PORTÁTIL COM AJUSTE DE ALTURA - DOBRÁVEL COM BAG - TNE1954-1,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106936-17522920464015416.jpeg
CP106942,"SUPORTE PARA GUITARRA, BAIXO E VIOLÃO - TUBULAR - DOBRÁVEL - TNS1954-1",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106942-17522545549759688.jpeg
CP106943,"SUPORTE PARA GUITARRA, BAIXO E VIOLÃO - TUBULAR - DOBRÁVEL - TNS1954-2",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106943-17522519523585391.jpeg
CP106944,"SUPORTE PARA GUITARRA, BAIXO E VIOLÃO - TIPO CAVALETE - DOBRÁVEL - TNS1954-3",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106944-17522514183928029.jpeg
CP106945,SUPORTE PARA TECLADO - DOBRÁVEL - TNS1954-4,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106945_3-17458116913004011.jpeg
CP106946,"SUPORTE DE PAREDE PARA GUITARRA, BAIXO E VIOLÃO - TNS1954-5",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106946-17523128018929446.jpeg
CP106947,PEDESTAL PARA MICROFONE GIRAFA COM CACHIMBO - TNP1954-1,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106947-17523431730061566.jpeg
CP106949,"SUPORTE PARA GUITARRA, BAIXO E VIOLÃO - TIPO CAVALETE - DOBRÁVEL - TNS1954-7",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/106949-17523362357634390.jpeg
CP108160,GUITARRA ELÉTRICA VALENTINE'S - MODELO ST- SSS - SNOW WHITE - TV1954SW,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108160_1-17680520863657208.jpeg
CP108167,GUITARRA ELÉTRICA VALENTINE'S - MODELO ST- SSS - DEEP DARK - TV1954DD,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108167_-17680521668965265.jpeg
CP108168,GUITARRA ELÉTRICA VALENTINE'S - MODELO ST- SSS - SUNSET - TV1954SS,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108168_1-17680522492235093.jpeg
CP108169,GUITARRA ELÉTRICA VALENTINE'S - MODELO ST-SSS - LIPSTICK RED - TV1954LR,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108169_1-17680523300367888.jpeg
CP108171,GUITARRA ELÉTRICA VALENTINE'S - MODELO ST- SSS - BLUE OCEAN - TV1954BO,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108171_1-17680524093678353.jpeg
CP108174,GUITARRA ELÉTRICA CECILLE - MODELO TL - COBALT BLUE - TLC1954CB,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108174_1-17679922300566559.jpeg
CP108177,CONTRABAIXO ELÉTRICO - JAZZMINE - YELLOW CAKE - 4 CORDAS - TBJM1954YC,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108177_-17680208889835810.jpeg
CP108179,CONTRABAIXO ELÉTRICO - JAZZMINE - DEEP DARK - 4 CORDAS - TBJM1954DD,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108179_-17680209684252633.jpeg
CP108180,CONTRABAIXO ELÉTRICO - JAZZMINE - SUNSET - 4 CORDAS - TBJM1954SS,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108180_-17680210463088772.jpeg
CP108181,CONTRABAIXO ELÉTRICO - THEODOR -NUDE WOOD - 4 CORDAS - TT1954NW,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108181_1-17680213671014443.jpeg
CP108182,CONTRABAIXO ELÉTRICO - THEODOR -MERLOT - 4 CORDAS - TT1954ML,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108182_-17680215312874966.jpeg
CP108183,CONTRABAIXO ELÉTRICO - THEODOR -DEEP DARK - 4 CORDAS - TT1954DD,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108183_1-17680214492912536.jpeg
CP108184,VIOLÃO CLÁSSICO ACÚSTICO LORENZZO 39&quot; - NYLON - NATURAL - VTL1954N,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108184_1-17692867433513200.jpeg
CP108186,VIOLÃO CLÁSSICO ACÚSTICO LORENZZO 39&quot; - NYLON - BROWN - VTL1954M,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108186_1-17691781042869388.jpeg
CP108187,VIOLÃO CLÁSSICO ELETRO-ACÚSTICO LORENZZO 39&quot; - SLIM CUTAWAY - NYLON - NATURAL FOSCO - VTLSC1954N,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108187_1-17458610515934347.jpeg
CP108189,VIOLÃO CLÁSSICO ELETRO-ACÚSTICO LORENZZO 39&quot; - SLIM CUTAWAY - NYLON - BROWN FOSCO - VTLSC1954M,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/108189_1-17459144899983650.jpeg
CP10964,"CABO DE GUITARRA NINJA CABLE 0,20 MM P10/P10 10FT 3,05M PRETO",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/10964_1-17573495018096459.jpeg
CP10966,"CABO DE MICROF. NINJA HG 0,20 MM P10/ XLR F. 03FT 0,91CM T",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/10966_1-17573496127964037.jpeg
CP10967,"CABO DE MICROF. NINJA HG 0,20 MM P10/XLR F. 10FT 3,05M PT",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/10967_1-17573496501567971.jpeg
CP10968,"CABO DE MICROF. NINJA HG 0,20 MM P10/XLR FEMEA 15FT 4,57M PT",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/10968_1-17573497860192444.jpeg
CP10969,"CABO PARA MICROFONE XLR M / XLR F NINJA LW 03FT 0,91M PRETO",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/10969-17458757270742827.jpeg
CP10971,"CABO PARA MICROF. NINJA LW 0,20 MM XLR M/ XLR F NINJA 15FT 4,57M PRETO",,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/0/10971-17457919131095456.jpeg
CP11002,PLUG P10 MONO NINJA C/ MOLA,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/11002.jpg-17459198268275043.jpeg
CP11008,PLUG XLR SAS 3 PINOS LINHA FÊMEA NIQUELADO L3FNN01,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/11008.jpg-17460176305482622.jpeg
CP111578,GUITARRA ELÉTRICA CECILLE - MODELO TL - SANGRIA - TLC1954SG,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111578_-17679923063815163.jpeg
CP111593,GUITARRA ELÉTRICA STAR LIGHT- SS - RED SUNSET - TSL21954RS,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111593-17522971558727672.jpeg
CP111594,GUITARRA ELÉTRICA STAR LIGHT -SS - VANILLA - TSL21954V,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111594-17523728616964867.jpeg
CP111597,GUITARRA ELÉTRICA STAR LIGHT - SS - AZURE - TSL21954AZ,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111597-17523185382683191.jpeg
CP111599,CONTRABAIXO ELÉTRICO - JAZZMINE - YELLOW CAKE - 5 CORDAS - TBJM1954YC5,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111599_1-17680211236497029.jpeg
CP111601,CONTRABAIXO ELÉTRICO - JAZZMINE- DEEP DARK- 5 CORDAS - TBJM1954DD5,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111601_-17680212017815919.jpeg
CP111602,CONTRABAIXO ELÉTRICO - JAZZMINE- SUNSET - 5 CORDAS - TBJM1954SS5,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111602_-17680212850399424.jpeg
CP111603,CONTRABAIXO ELÉTRICO - THEODOR - NUDE WOOD - 5 CORDAS - TT1954NW5,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111603_-17683010154697343.jpeg
CP111604,CONTRABAIXO ELÉTRICO - THEODOR - MERLOT - 5 CORDAS - TT1954ML5,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111604_-17683991153392531.jpeg
CP111605,CONTRABAIXO ELÉTRICO - THEODOR - DEEP DARK - 5 CORDAS - TT1954DD5,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111605_1-17682489091784786.jpeg
CP111613,VIOLÃO ELÉTRICO ABALONE 40&quot; - NATURAL - TAMPO SÓLIDO EM SPRUCE - EQ 3 BANDAS - FOSCO - VGAB1954N40,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111613_1-17522907229355352.jpeg
CP111614,VIOLÃO ELÉTRICO ABALONE 41&quot; - NATURAL - TAMPO SÓLIDO EM SPRUCE - EQ 3 BANDAS - FOSCO - VFA1954N41,,Musical,https://www.oderco.com.br/media/catalog/product/cache/c5b0e6136a6dd7f7d91d8b889ed40f35/1/1/111614_1-17496758262554069.jpeg
